CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
DHA021B,DHA021,DHA,Duke Hardwood,21,QUBI,I,LIVE,29.7,1,2,B,,,,,,,,,,,
DHA022A,DHA022,DHA,Duke Hardwood,22,FRAM,I,LIVE,31.7,1,2,A,,,,,,,,,,,
DHA022B,DHA022,DHA,Duke Hardwood,22,FRAM,I,LIVE,31.7,1,2,B,,,,,,,,,,,
DHA023A,DHA023,DHA,Duke Hardwood,23,QUBI,C,LIVE,66.4,1,2,A,,,,,,,,,,,
DHA023B,DHA023,DHA,Duke Hardwood,23,QUBI,C,LIVE,66.4,1,2,B,,,,,,,,,,,
DHA024A,DHA024,DHA,Duke Hardwood,24,ELM,*,DEAD,22.2,1,2,A,,,,,,,,,,,
DHA024B,DHA024,DHA,Duke Hardwood,24,ELM,*,DEAD,22.2,1,2,B,,,,,,,,,,,
DHA025A,DHA025,DHA,Duke Hardwood,25,CAOV,D,LIVE,45.8,1,2,A,,,,,,,,,,,
DHA025B,DHA025,DHA,Duke Hardwood,25,CAOV,D,LIVE,45.8,1,2,B,,,,,,,,,,,
DHA027A,DHA027,DHA,Duke Hardwood,27,FRAM,C,LIVE,37.9,1,2,A,,,,,,,,,,,
DHA027B,DHA027,DHA,Duke Hardwood,27,FRAM,C,LIVE,37.9,1,2,B,,,,,,,,,,,
DHA028A,DHA028,DHA,Duke Hardwood,28,QUPH,C,LIVE,45.6,1,2,A,,,,,,,,,,,
DHA028B,DHA028,DHA,Duke Hardwood,28,QUPH,C,LIVE,45.6,1,2,B,,,,,,,,,,,
DHA029A,DHA029,DHA,Duke Hardwood,29,QUPH,I,LIVE,33.1,1,2,A,,,,,,,,,,,
DHA029B,DHA029,DHA,Duke Hardwood,29,QUPH,I,LIVE,33.1,1,2,B,,,,,,,,,,,
DHA030A,DHA030,DHA,Duke Hardwood,30,ULAL,I,LIVE,30.3,1,2,A,,,,,,,,,,,
DHA030B,DHA030,DHA,Duke Hardwood,30,ULAL,I,LIVE,30.3,1,2,B,,,,,,,,,,,
DHA031A,DHA031,DHA,Duke Hardwood,31,QUBI,I,LIVE,34.4,1,2,A,,,,,,,,,,,
